=== NE Executable: game/ELFISH/ELFISH.EXE ===
Linker: 5.0
Target OS: OS/2
Flags: 0x000A (GLOBALHEAP | PROTMODE)
Entry: seg 122:0000
Stack: seg 1, SP=0x8000
Alignment shift: 4 (sector size: 16)

Segments: 231 total (121 CODE, 110 DATA)
Code size: 508,409 bytes
Relocations: 25,394 total

Imported modules: TSXLIB

Resident names (1):
  0: elfish

=== Code Segments ===
  Seg 199: 0x00036840  size=0x0D88 (  3464), 76 relocs
  Seg 200: 0x00037830  size=0x0E21 (  3617), 35 relocs
  Seg 201: 0x00038770  size=0x0E59 (  3673), 108 relocs
  Seg 202: 0x00039930  size=0x0E7C (  3708), 76 relocs
  Seg 203: 0x0003AA10  size=0x0ED8 (  3800), 36 relocs
  Seg 204: 0x0003BA10  size=0x1058 (  4184), 23 relocs
  Seg 205: 0x0003CB30  size=0x10EE (  4334), 26 relocs
  Seg 206: 0x0003DD00  size=0x1162 (  4450), 120 relocs
  Seg 207: 0x0003F230  size=0x13AB (  5035), 21 relocs
  Seg 208: 0x00040690  size=0x13B1 (  5041), 20 relocs
  Seg 209: 0x00041AF0  size=0x13C0 (  5056), 46 relocs
  Seg 210: 0x00043030  size=0x140F (  5135), 92 relocs
  Seg 211: 0x00044730  size=0x165E (  5726), 61 relocs
  Seg 212: 0x00045F80  size=0x169A (  5786), 66 relocs
  Seg 213: 0x00047830  size=0x169C (  5788), 12 relocs
  Seg 214: 0x00048F30  size=0x16BF (  5823), 65 relocs
  Seg 215: 0x0004A800  size=0x16CC (  5836), 19 relocs
  Seg 216: 0x0004BF70  size=0x17EF (  6127), 9 relocs
  Seg 217: 0x0004D7B0  size=0x180D (  6157), 15 relocs
  Seg 218: 0x0004F040  size=0x18C7 (  6343), 98 relocs
  Seg 219: 0x00050C20  size=0x1B90 (  7056), 30 relocs
  Seg 220: 0x000528B0  size=0x2470 (  9328), 136 relocs
  Seg 221: 0x00055170  size=0x24C0 (  9408), 121 relocs
  Seg 222: 0x00057A00  size=0x2612 (  9746), 56 relocs
  Seg 223: 0x0005A1E0  size=0x4210 ( 16912), 254 relocs
  Seg 224: 0x0005EBF0  size=0x4264 ( 16996), 117 relocs
  Seg 225: 0x00063200  size=0x47E6 ( 18406), 2409 relocs
  Seg 226: 0x0006C540  size=0x49EA ( 18922), 86 relocs
  Seg 227: 0x000711E0  size=0x64B1 ( 25777), 222 relocs
  Seg 228: 0x00077D90  size=0x6913 ( 26899), 1030 relocs
  Seg 229: 0x000806E0  size=0x86DD ( 34525), 2890 relocs
  Seg 230: 0x0008E820  size=0xBB48 ( 47944), 7449 relocs
  Seg 231: 0x000A8C40  size=0xCE1C ( 52764), 6695 relocs

=== Relocation Summary ===
  Internal references: 4022
  Import references: 21372
  Code segments referenced by relocations: 117
  Data segments referenced by relocations: 109
